original_question,masked_question,nouns,noun_count
"A defendant was charged with murder. The killing took place on February 1. At the time that the crime occurred, this jurisdiction required a unanimous verdict of all 12 jury members for a conviction on a capital offense. On November 1, the state legislature enacted a new law requiring a majority vote of seven of 12 jurors to convict on a capital offense. The defendant's trial began on December 1. He was subsequently convicted of murder by an eight- to-four vote. Following the trial, the defendant's attorney filed a motion to set aside the verdict. Which of the following would provide the strongest constitutional grounds to overturn the verdict?",() () () charged () murder () () killing took place () February () () () () time () () crime occurred () () jurisdiction required () unanimous verdict () () () jury members () () conviction () () capital offense () () November () () () state legislature enacted () new law requiring () majority vote () () () () jurors () convict () () capital offense () () defendant () trial began () December () () () () () convicted () murder () () () () () () () vote () Following () trial () () defendant () attorney filed () motion () set () () verdict () () () () following () provide () strongest constitutional grounds () overturn () verdict (),"['defendant', 'charged', 'murder', 'killing', 'place', 'February', 'time', 'crime', 'occurred', 'jurisdiction', 'required', 'unanimous', 'verdict', 'jury', 'members', 'conviction', 'capital', 'offense', 'November', 'legislature', 'enacted', 'new', 'law', 'requiring', 'majority', 'vote', 'jurors', 'convict', 'capital', 'offense', 'defendant', 'trial', 'began', 'December', 'convicted', 'vote', 'Following', 'trial', 'defendant', 'attorney', 'motion', 'set', 'verdict', 'following', 'provide', 'strongest', 'grounds', 'overturn', 'verdict']",49
"A state's constitution reserves to the people of each municipality in the state the power of referendum with respect to all questions that the municipality is authorized to control by legislation. A real estate developer applied for a zoning change to permit construction of a convalescent home on land he owned in a city within the state. While the application was pending, the city charter was amended by popular vote so as to require that any changes in land use agreed to by the city council be approved by a 55% vote in a referendum. The city planning commission and the city council both approved the proposed zoning change. However, the real estate developer's subsequent application for approval for a proposed home on the grounds was rejected because the rezoning action had not been submitted to a referendum. In an action brought in state court seeking a judgment declaring the city charter amendment invalid, the court will most likely declare the amendment",() state () constitution () () () people () () () () () state () power () referendum () respect () () questions () () municipality () () () () () legislation () () real estate developer applied () () zoning change () permit construction () () convalescent home () land () owned () () city () () state () () () application () pending () () city charter () amended () popular vote () () () require () () changes () land use agreed () () () city council () approved () () () % vote () () referendum () () city planning commission () () city council () approved () proposed zoning change () () () () real estate developer () subsequent application () approval () () proposed home () () grounds () rejected () () rezoning action () () () submitted () () referendum () () () action brought () state court seeking () judgment declaring () city charter amendment invalid () () court () () () declare () amendment,"['state', 'constitution', 'reserves', 'people', 'municipality', 'state', 'power', 'referendum', 'respect', 'questions', 'municipality', 'control', 'legislation', 'real', 'developer', 'applied', 'zoning', 'change', 'permit', 'construction', 'convalescent', 'home', 'land', 'owned', 'city', 'state', 'application', 'pending', 'city', 'charter', 'amended', 'popular', 'vote', 'require', 'changes', 'land', 'use', 'agreed', 'city', 'council', 'approved', 'vote', 'referendum', 'city', 'planning', 'commission', 'city', 'approved', 'proposed', 'zoning', 'change', 'real', 'estate', 'developer', 'subsequent', 'application', 'home', 'grounds', 'rejected', 'rezoning', 'action', 'submitted', 'action', 'brought', 'state', 'court', 'seeking', 'judgment', 'declaring', 'city', 'charter', 'amendment', 'invalid', 'court', 'declare']",75
Weber defined a 'class situation' as:,Weber defined () () class situation () () (),"['Weber', 'defined', 'class', 'situation']",4
"A child is frightened by the sudden barking of a neighbor's dog. Once her mother picks her up, the child begins to calm down as which of the following biological processes occurs?",() child () frightened () () sudden barking () () neighbor () () () () () mother picks () () () () child begins () calm () () () () () following biological processes occurs (),"['child', 'frightened', 'sudden', 'barking', 'neighbor', 'mother', 'picks', 'child', 'begins', 'calm', 'following', 'biological', 'processes', 'occurs']",14
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | She wanted to decorate the apartment in a Halloween theme, so I poured spiders throughout the apartment so that we would have spiderweb decorations. Scenario 2 | I put rolled oats in a bowl in the microwave and heated it.",() () () () () scenarios () () main character () () uses () () () () () () do something () () wrong () () () ordinary moral standards () () US () () () () Scenario () () () wanted () decorate () apartment () () Halloween theme () () () poured spiders () () apartment () () () () have spiderweb decorations () Scenario () () () put rolled oats () () bowl () () microwave () heated () (),"['scenarios', 'main', 'character', 'uses', 'do', 'something', 'wrong', 'ordinary', 'moral', 'standards', 'US', 'Scenario', 'wanted', 'decorate', 'apartment', 'theme', 'poured', 'spiders', 'apartment', 'have', 'spiderweb', 'decorations', 'Scenario', 'rolled', 'oats', 'bowl', 'microwave', 'heated']",28
Cicero's conception of natural law is 'based on the idea that 'true law is right reason in agreement with Nature.' Reason is a key element because:,Cicero () conception () natural law () () based () () () () () true law () right reason () agreement () Nature () () Reason () () key element () (),"['Cicero', 'conception', 'natural', 'law', 'based', 'true', 'law', 'right', 'reason', 'agreement', 'Nature', 'Reason', 'key', 'element']",14
"If two variables, $x_t$ and $y_t$ are said to be cointegrated, which of the following statements are true?

i) $x_t$ and $y_t$ must both be stationary


ii) Only one linear combination of $x_t$ and $y_t$ will be stationary


iii) The cointegrating equation for $x_t$ and $y_t$ describes the short-run relationship

between the two series


iv) The residuals of a regression of $y_t$ on $x_t$ must be stationary",() () variables () () () () () () () () said () () cointegrated () () () () following statements () true () () () () () () () () () () () () stationary () () () () linear combination () () () () () () y_t$ () () stationary () () () cointegrating equation () () () () () () y_t$ describes () short () run relationship () () () series () () () residuals () () regression () () () () () () () () () stationary,"['variables', 'said', 'cointegrated', 'following', 'statements', 'true', 'stationary', 'linear', 'y_t$', 'stationary', 'cointegrating', 'equation', 'y_t$', 'short', 'run', 'relationship', 'series', 'residuals', 'regression', 'stationary']",20
For an SCR gate cathode characteristic is a straight line of 130. For triggered source volume of 15 V and allowable gate power dissipation of 0.5 W compute the gate source resistance?,() () SCR gate cathode characteristic () () straight line () () () () triggered source volume () () V () allowable gate power dissipation () () W compute () gate source resistance (),"['SCR', 'gate', 'cathode', 'characteristic', 'straight', 'line', 'triggered', 'source', 'volume', 'V', 'allowable', 'gate', 'power', 'W', 'compute', 'gate', 'source', 'resistance']",18
Which is a major characteristic of the bunyavirus family?,() () () major characteristic () () bunyavirus family (),"['major', 'characteristic', 'bunyavirus', 'family']",4
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I rode my skateboard down the sidewalk. Scenario 2 | I fed my kitten wet cat food 3 times a day.",() () () () () scenarios () () main () () () uses () () () () () () () something () () wrong () according () ordinary moral standards () () US () () () () Scenario () () () rode () skateboard () () sidewalk () Scenario () () () fed () kitten wet cat food () times () day (),"['scenarios', 'main', 'uses', 'something', 'wrong', 'according', 'ordinary', 'moral', 'standards', 'US', 'Scenario', 'rode', 'skateboard', 'sidewalk', 'Scenario', 'fed', 'kitten', 'wet', 'cat', 'food', 'times', 'day']",22
Select the best translation into predicate logic. Alexis is greeted by Ben. (a: Alexis; b: Ben; Gxy: x greets y),Select () best translation () predicate logic () Alexis () greeted () Ben. () () () Alexis () () () Ben () Gxy () x greets y (),"['Select', 'best', 'translation', 'predicate', 'logic', 'Alexis', 'greeted', 'Ben.', 'Alexis', 'b', 'Ben', 'Gxy', 'x', 'greets']",14
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I asked her for help with my computer so she installed a anti-virus software on it. Scenario 2 | I kept the fireplace lit as the chimney cleaner was in it.",() () () () () scenarios () () () character () () uses () () () () () () do something () () wrong () according () ordinary moral standards () () US () () () () Scenario () () () asked () () help () () computer () () installed () anti-virus software () () () Scenario () () () kept () fireplace lit () () chimney cleaner () () () (),"['scenarios', 'character', 'uses', 'do', 'something', 'wrong', 'according', 'ordinary', 'moral', 'standards', 'US', 'Scenario', 'asked', 'computer', 'installed', 'anti-virus', 'software', 'Scenario', 'kept', 'fireplace', 'lit', 'chimney', 'cleaner']",23
"Which of the following situations would not impair objectivity, integrity, or independence with respect to an audit client?",() () () following situations () () impair objectivity () integrity () () independence () respect () () audit client (),"['following', 'situations', 'impair', 'objectivity', 'integrity', 'independence', 'respect', 'audit', 'client']",9
The City of Windemere decided to construct several large windmills to generate electrical power. The construction was financed through a general residential property tax levy for the next ten years. Utility revenues are intended to offset all expenses associated with the windmills. The land for the windmills was donated to the city by a local farmer. The land from the farmer should be reported in which fund type?,() () () Windemere decided () construct () large () () generate electrical power () () construction () financed () () general residential property tax levy () () next () years () Utility revenues () intended () offset () expenses associated () () windmills () () land () () windmills () donated () () city () () local farmer () () land () () farmer () () reported () () fund type (),"['City', 'Windemere', 'decided', 'construct', 'several', 'large', 'windmills', 'generate', 'electrical', 'power', 'construction', 'financed', 'general', 'property', 'tax', 'next', 'years', 'Utility', 'revenues', 'intended', 'offset', 'expenses', 'associated', 'windmills', 'windmills', 'donated', 'city', 'local', 'farmer', 'land', 'farmer', 'reported', 'fund', 'type']",34
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I took a cab home after drinking 3 bottles of wine at the winery. Scenario 2 | I hit on her at the party.",() () () () () scenarios () () main character () () uses () () () () () () do something () () wrong () according () ordinary moral standards () () US () () () () Scenario () () () took () cab () () drinking () bottles () wine () () winery () Scenario () () () hit () () () () party (),"['scenarios', 'main', 'character', 'uses', 'do', 'something', 'wrong', 'according', 'ordinary', 'moral', 'standards', 'US', 'Scenario', 'took', 'cab', 'drinking', 'bottles', 'winery', 'Scenario', 'party']",20
What does situational theory of leadership emphasise?,() () situational theory () leadership emphasise (),"['situational', 'theory', 'leadership', 'emphasise']",4
"In 1985, a landowner, the undisputed owner of an apartment building, leased it to a tenant for a term of seven years. Rent was to be paid in installments due on the first day of each month. One year later, in 1986, the landowner died leaving no heirs. In her will, the landowner left her entire estate to the Girl Scouts of America. The apartment building was not specifically mentioned in the will. One month after the landowner died, the tenant, having learned of the landowner's death, decided to remain on the property, but stopped paying rent. The Girl Scouts of America organization was unaware of the landowner's gift to the organization until 2009, when attorneys for the organization conducted an inventory of testamentary gifts to the Girl Scouts of America, which revealed that they had a claim to ownership of the apartment building. The statutory period for adverse possession in this jurisdiction is 20 years. In an ejection action by the Girl Scouts of America against the tenant, the organization will prevail",() () () () landowner () () undisputed () () () () building () leased () () () () () () term () () () () Rent () () () paid () installments () () () first day () () month () () year () () () () () () landowner died leaving () heirs () () () will () () landowner left () entire estate () () Girl Scouts () America () () apartment building () () () mentioned () () will () () month () () landowner died () () tenant () () learned () () landowner () death () decided () remain () () property () () stopped paying rent () () Girl Scouts () America organization () unaware () () landowner () gift () () organization () () () () attorneys () () organization conducted () inventory () testamentary gifts () () Girl Scouts () America () () revealed () () had () claim () ownership () () apartment building () () statutory period () adverse possession () () jurisdiction () () years () () () ejection action () () Girl Scouts () America () () tenant () () organization () prevail,"['landowner', 'undisputed', 'apartment', 'building', 'leased', 'tenant', 'Rent', 'paid', 'installments', 'first', 'day', 'month', 'year', 'landowner', 'died', 'leaving', 'heirs', 'will', 'left', 'entire', 'estate', 'Girl', 'Scouts', 'America', 'apartment', 'building', 'mentioned', 'will', 'month', 'landowner', 'died', 'tenant', 'learned', 'landowner', 'death', 'decided', 'property', 'stopped', 'paying', 'rent', 'Girl', 'America', 'organization', 'landowner', 'gift', 'organization', 'attorneys', 'organization', 'conducted', 'inventory', 'testamentary', 'gifts', 'Girl', 'Scouts', 'America', 'revealed', 'had', 'claim', 'ownership', 'apartment', 'building', 'statutory', 'period', 'adverse', 'possession', 'jurisdiction', 'years', 'ejection', 'action', 'Girl', 'Scouts', 'America', 'tenant', 'prevail']",74
"Which language family contains Italian, Spanish, Portuguese, and Romanian?",() language family contains Italian () Spanish () Portuguese () () Romanian (),"['language', 'family', 'contains', 'Italian', 'Spanish', 'Portuguese', 'Romanian']",7
" According to Carruthers, which of the following groups should not be accorded direct moral standing?",According () Carruthers () () () () following groups () () () accorded direct moral standing (),"['According', 'Carruthers', 'following', 'groups', 'accorded', 'direct', 'moral', 'standing']",8
All of the following organs in the digestive system secrete digestive enzymes EXCEPT the,() () () following organs () () digestive system secrete digestive enzymes () (),"['following', 'organs', 'digestive', 'system', 'secrete', 'digestive', 'enzymes']",7
With which of the following techniques were the native navigators of the Pacific NOT familiar?,() () () () following techniques () () native navigators () () Pacific () familiar (),"['following', 'techniques', 'native', 'navigators', 'Pacific', 'familiar']",6
In what ways has the concept of environmental security been contested?,() () ways () () concept () environmental security () contested (),"['ways', 'concept', 'environmental', 'security', 'contested']",5
"According to Socrates, it is important that we discover what makes a particular action (e.g., a merciful or just act) the kind of action that it is, because without such knowledge:",According () Socrates () () () important () () discover () makes () () action () () () () merciful () () act () () kind () action () () () () () () such knowledge (),"['According', 'Socrates', 'important', 'discover', 'makes', 'action', 'merciful', 'act', 'kind', 'action', 'such', 'knowledge']",12
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I ironed the clothes while my children were playing outside. Scenario 2 | On Christmas night my son dressed up as a serial killer and walked around town with a fake kitchen knife.",() () () () () scenarios () () main character () () uses () () () () () () do something () () () () according () () moral standards () () US () () () () Scenario () () () ironed () clothes () () children () playing () () Scenario () () () Christmas night () son dressed () () () serial killer () walked () town () () fake kitchen knife (),"['scenarios', 'main', 'character', 'uses', 'do', 'something', 'according', 'moral', 'standards', 'US', 'Scenario', 'ironed', 'clothes', 'children', 'playing', 'Scenario', 'Christmas', 'night', 'son', 'dressed', 'serial', 'killer', 'walked', 'town', 'fake', 'kitchen', 'knife']",27
On a bank's balance sheet which of the following is considered a liability?,() () bank () balance sheet () () () following () considered () liability (),"['bank', 'balance', 'sheet', 'following', 'considered', 'liability']",6
Who was the first First Lady to run for political office?,() () () first First Lady () run () political office (),"['first', 'First', 'Lady', 'run', 'political', 'office']",6
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I picked up the money the man dropped and put it in my pocket. Scenario 2 | After work, I decided to cook dinner for my baby to eat.",() () () () () scenarios () () main character () () uses () () () () () () () something () () wrong () according () ordinary moral standards () () US () () () () Scenario () () () picked () () money () man dropped () put () () () pocket () Scenario () () () work () () decided () cook dinner () () baby () eat (),"['scenarios', 'main', 'character', 'uses', 'something', 'wrong', 'according', 'ordinary', 'moral', 'standards', 'US', 'picked', 'money', 'man', 'dropped', 'put', 'pocket', 'Scenario', 'work', 'decided', 'cook', 'dinner', 'baby', 'eat']",24
With which of the following relatives is an individual most likely to share a common HLA haplotype?,() () () () following relatives () () individual () likely () share () common HLA haplotype (),"['following', 'relatives', 'individual', 'likely', 'share', 'common', 'HLA', 'haplotype']",8
Which of the following is an example of a chemical change?,() () () following () () example () () chemical change (),"['following', 'example', 'chemical', 'change']",4
"Buyer purchases an item from a merchant that turns out to be unfit, defective and unsafe for its ordinary purposes. Assuming no other warranties, which of the following can be invoked by the buyer?",Buyer purchases () item () () merchant () turns () () () unfit () defective () unsafe () () ordinary purposes () Assuming () other warranties () () () () following () () invoked () () buyer (),"['Buyer', 'purchases', 'item', 'merchant', 'turns', 'unfit', 'defective', 'unsafe', 'ordinary', 'purposes', 'Assuming', 'warranties', 'following', 'invoked', 'buyer']",15
Intermediaries assist end-users by bringing a product produced a long way away to a more convenient location for purchase and consumption. This is referred to as:,Intermediaries assist end () users () bringing () () produced () long way () () () () convenient location () purchase () consumption () () () referred () () (),"['Intermediaries', 'assist', 'end', 'users', 'bringing', 'produced', 'long', 'way', 'convenient', 'location', 'purchase', 'consumption', 'referred']",13
Which step explains how to find the value of a in 6a = 72?,() step explains () () find () value () () () () () () (),"['step', 'explains', 'find', 'value']",4
Which of the following countries is actively trying to preserve the purity of their native language from contamination by English or other languages?,() () () following countries () () trying () preserve () purity () () native language () () () English () other languages (),"['following', 'countries', 'trying', 'preserve', 'purity', 'native', 'language', 'English', 'other', 'languages']",10
