Unnamed: 0,question,full_answer,masked_question,masked_word_answer,answer,extracted_terms,rel_info_generated,leakage_in_bucket,can_be_data_leakage,seen_terms
30,"Lucy has been trying new recipes and wants to make sure she keeps the cupboard stocked with ingredients. She had a 500g bag of flour in the cupboard at the start of the week. She used 240g when she baked cookies on Tuesday, and accidentally spilled half of what was left when she was putting the flour away. If Lucy wants a full bag of flour in the cupboard, how much flour does she need to buy, in grams?","After baking cookies, Lucy had 500 – 240 = <<500-240=260>>260g of flour left.
She accidentally spilled half of this, which means she had 260 * 0.5 = <<260*0.5=130>>130g of flour left.
She therefore needs 500 – 130 = <<500-130=370>>370g of flour.
#### 370","Lucy has been trying new recipes and wants to make sure she keeps the cupboard stocked with ingredients. She had a 500g bag of flour in the cupboard at the start of the week. She used 240g when she baked cookies on Tuesday, and accidentally spilled half of what was left when she was putting the flour away. If Lucy wants a full bag of flour in the cupboard, how much flour does she need to buy, in ()?",grams,370,"['the start of the week', '240g', 'Tuesday', 'half', 'full bag', 'much flour', 'recipes', 'wants', 'make', 'sure', 'ingredients', 'start', 'used', 'baked', 'accidentally', 'spilled', 'much', 'buy']","At the start of the week, Sarah bought a full bag of flour weighing 240g to try out new recipes. On Tuesday, she decided to make a cake but realized she only needed half as much flour. Unfortunately, while measuring out the ingredients, she accidentally spilled too much flour. Now, Sarah wants to make sure she has enough flour left to bake another batch of cookies later in the week. She is considering buying more flour to replenish what was used up in the mishap.",,False,320
31,"Tom originally was only able to lift 80  kg farmer handles per hand.  After some training, he was able to double this number.  He then decided to specialize and was able to get an extra 10%.  How much weight can he hold in total?","After doubling he was able to hold 80*2=<<80*2=160>>160 kg per hand
Specialization gave him another 160*.1=<<160*.1=16>>16 kg
So he lifted 160+16=<<160+16=176>>176 kg per hand
That means he lifted a total of 352 kg
#### 352","Tom originally was only able to lift 80  kg farmer handles per hand.  After some training, he was able to double this number.  He then decided to specialize and was able to get an extra 10%.  How much () can he hold in total?",weight,352,,,Seen Q,True,weight
32,"Jordan is a hockey goalie. In the first period of a game, he blocked four shots. In the second period, he blocked twice as many shots. In the third period, he blocked three fewer than in the second period. When the game ended after the fourth period, he had blocked 21 shots in all. How many did Jordan block in the fourth period?","Let F be the number of shots Jordan blocked in the fourth period.
In the second period, he blocked 2 * 4 = <<2*4=8>>8 shots.
In the third period, he blocked 8 - 3 = <<8-3=5>>5 shots.
In the whole game, he blocked 4 + 8 + 5 + F = 17 + F = 21 shots.
Thus, Jordan blocked F = 21 - 17 = <<21-17=4>>4 shots in the fourth period.
#### 4","Jordan is a () goalie. In the first period of a game, he blocked four shots. In the second period, he blocked twice as many shots. In the third period, he blocked three fewer than in the second period. When the game ended after the fourth period, he had blocked 21 shots in all. How many did Jordan block in the fourth period?",hockey,4,"['second', 'second', '21', 'hockey goalie', 'third period', 'fourth period', 'hockey', 'goalie', 'period', 'game', 'shots', 'twice', 'as', 'fewer']","In a thrilling hockey game, the goalie faced a barrage of shots throughout the first, second, and third periods. Despite facing 21 shots in the first period alone, the goalie managed to keep the opposing team at bay, allowing only one goal. As the game progressed into the second period, the pressure intensified, with the goalie facing even more shots. Remarkably, the goalie made incredible saves, preventing the opposing team from scoring. In the third period, the goalie's resilience was put to the test once again as the opposing team launched a relentless offensive. Despite facing shots twice as many as their counterpart, the goalie displayed exceptional skill and determination, ultimately securing a hard-fought victory for their team. As the final buzzer sounded, the goalie's outstanding performance in the fourth period solidified their reputation as a formidable force in the world of hockey.",,False,Five
33,"On Friday, Markeesha sold 30 boxes of crackers for her scout troop's fundraiser. On Saturday, she sold twice as many as on Friday. On Sunday, she sold 15 fewer than Saturday. How many boxes did she sell over the three days?","On Saturday, she sold 2*30=<<2*30=60>>60 boxes.
On Sunday, she sold 60-15=<<60-15=45>>45 boxes.
She sold a total of 30+60+45=<<30+60+45=135>>135.
#### 135","On Friday, Markeesha sold 30 boxes of () for her scout troop's fundraiser. On Saturday, she sold twice as many as on Friday. On Sunday, she sold 15 fewer than Saturday. How many boxes did she sell over the three days?",crackers,135,"['Friday', 'Markeesha', '30', 'Friday', 'Sunday', '15', 'scout', 'fundraiser', 'twice', 'fewer', 'sell']","Markeesha, a dedicated scout leader, is organizing a fundraiser to support her troop's upcoming camping trip. The fundraiser is set to take place on Friday and Sunday, giving the scouts two days to sell their goods. Markeesha, who is turning 30 this year, hopes to raise enough funds to cover the costs of transportation and supplies for the trip. With a goal of selling twice as many items as last year, the scouts are determined to sell fewer items this time around to maximize profits and ensure a successful fundraiser.",,False,cookies
34,Tom spends $250 to buy gems in a game he plays.  The game gives 100 gems for each dollar you spend.  Since he bought so many gems he got a 20% bonus of more gems. How many gems did he end up with?,"He bought 250*100=<<250*100=25000>>25000 gems
He got a 25,000*.2=<<25000*.2=5000>>5,000 gem bonus
So he got a total of 25000+5000=<<25000+5000=30000>>30,000 gems
#### 30,000",Tom spends $250 to buy () in a game he plays.  The game gives 100 () for each dollar you spend.  Since he bought so many () he got a 20% bonus of more (). How many () did he end up with?,gems,30,,,Seen Q,True,gems
35,"How many apples did two men and three women buy at a certain store if the two men each bought 30 apples, 20 less than the number of apples bought by each woman?","If the two men each bought 30 apples, together they bought 2*30 = <<2*30=60>>60 apples.
Since the two men each bought 30 apples, 20 less than the total number of apples bought by each woman, each woman bought 20+30 = <<20+30=50>>50 apples.
The total number of apples bought by the women is 3*50 = <<3*50=150>>150
Altogether, the two men and three women bought 60+150 = <<60+150=210>>210 apples.
#### 210","How many apples did two () and three wo() buy at a certain store if the two () each bought 30 apples, 20 less than the number of apples bought by each woman?",men,210,,,Seen Q,True,men
36,"Luisa drives 10 miles to the grocery store, 6 miles to the mall, 5 miles to the pet store, then 9 miles back home. One gallon of gas can be used to drive 15 miles. If one gallon of gas costs $3.50, what is the total cost of the gas for Luisa’s entire trip?","Luisa drives a total of 10 + 6 + 5 + 9 = <<10+6+5+9=30>>30 miles
Luisa uses 30 / 15 = <<30/15=2>>2 gallons of gas for her trip
The total cost of the gas for Luisa’s trip is 2 * $3.50 = $<<2*3.5=7>>7
#### 7","Luisa drives 10 miles to the grocery store, 6 miles to the (), 5 miles to the pet store, then 9 miles back home. One gallon of gas can be used to drive 15 miles. If one gallon of gas costs $3.50, what is the total cost of the gas for Luisa’s entire trip?",mall,7,"['10 miles', '6 miles', '5 miles', 'One gallon', 'pet store', 'total cost', 'entire trip', 'miles', 'grocery', 'mall', 'back', 'home', 'gallon', 'total', 'trip']","During a shopping trip, Sarah drove a total of 10 miles from her home to the grocery store, then 6 miles to the mall, and finally 5 miles to the pet store before heading back home. Her car consumes one gallon of gas for every 25 miles. To calculate the total cost of gas for the entire trip, we need to consider the total distance traveled, which is 21 miles (10 miles + 6 miles + 5 miles). This means Sarah used approximately 0.84 gallons of gas for the entire trip (21 miles ÷ 25 miles per gallon). If the cost of one gallon of gas is $3, then the total cost of gas for the entire trip would be around $2.52 (0.84 gallons x $3).",,False,pharmacy
37,"Tony has a bucket that holds 2 pounds of sand. He has a sandbox out back that is two feet deep, four feet wide, and 5 feet long. A cubic foot of sand weighs 3 pounds. Because it's hot outside, he wants to make sure he stays hydrated, so every 4 trips he takes he drinks 3 ounces of bottled water. A 15 ounce bottle of water costs $2. He has $10 with him. How much change will he have after he buys all the water he needs?","The sandbox is 40 cubic feet because 2 x 4 x 5 = <<2*4*5=40>>40
He needs 120 pounds of sand because 40 x 3 = <<40*3=120>>120
He will take 60 trips because 120 / 2 = <<120/2=60>>60
He will need to drink water 15 times because 60 / 4 = <<60/4=15>>15
He will drink 45 ounces of water because 15 x 3 = <<15*3=45>>45
He will need 3 bottles of water because 45 / 15 = <<45/15=3>>3
He will spend $6 on water because 3 x 2 = <<3*2=6>>6
He will have $4 in change because 10 - 6 = <<10-6=4>>4
#### 4","Tony has a bucket that holds 2 pounds of sand. He has a () out back that is two feet deep, four feet wide, and 5 feet long. A cubic foot of sand weighs 3 pounds. Because it's hot outside, he wants to make sure he stays hydrated, so every 4 trips he takes he drinks 3 ounces of bottled water. A 15 ounce bottle of water costs $2. He has $10 with him. How much change will he have after he buys all the water he needs?",sandbox,4,"['Tony', '2 pounds', 'two feet', 'A cubic foot', '3 pounds', '4', '3 ounces', '15 ounce', '10', 'cubic foot', 'ounce bottle', 'much change', 'bucket', 'holds', 'sand', 'sandbox', 'wide', 'long', 'hot', 'so', 'trips', 'takes', 'drinks', 'ounces', 'water', 'How', 'change']","Tony bought a 2-pound bag of sand to fill his sandbox, which measures two feet wide and three feet long. A cubic foot of sand typically weighs around 100 pounds, so Tony's 2-pound bag is just a fraction of what the sandbox can hold. Tony also purchased a 3-ounce bottle of water to keep himself hydrated during the hot day ahead. He takes 4 trips to fill the sandbox completely, each trip adding 15 ounces of sand. After all the hard work, Tony drinks 10 ounces of water to cool off. How much change Tony has left after buying the sand and water is a question that remains unanswered.",,False,pool
38,"If Brooke adds eight balloons to his current 12, and Tracy adds 24 to her current 6, how many balloons will they have in total if Tracy pops half of her balloons?","When Brooke gets twelve more balloons, his total becomes 12+8 = <<12+8=20>>20
When Tracy adds 24 more balloons to her 6, her total number of balloons becomes 24+6 = <<24+6=30>>30
When half of Tracy's balloons pop, she remains with 1/2*30 =<<1/2*30=15>>15
The combined total balloons for the two is 15+20 = <<15+20=35>>35 balloons
#### 35","If Brooke adds eight balloons to his current 12, and Tracy adds 24 to her current 6, how many balloons will they have in () if Tracy pops half of her balloons?",total,35,"['Brooke', '12', '24', '6', 'current 12', 'many balloons', 'current', 'have']","Brooke, a cheerful 12-year-old, is preparing for her birthday party. She has ordered 24 balloons in total, with 6 of them already inflated and ready for the celebration. The current count of balloons she has is 12, and she is excited about the many balloons that will soon fill the party venue. Brooke's current focus is ensuring that all 24 balloons are ready and beautifully arranged for her special day.",,False,15
39,"There are 11 males & 12 females in the orchestra and twice that number in the band. There are 12 males & 17 females in the choir. If each musician only participates in one group, how many musicians total are there in the orchestra, the band, and the choir?","The number of musicians in the orchestra is 11 + 12 = <<11+12=23>>23.
The number of musicians in the band is 2 × 23 = <<2*23=46>>46.
The number of students in the choir is 12 + 17 = <<12+17=29>>29.
There are 23 + 46 + 29 = <<23+46+29=98>>98 musicians in total.
#### 98","There are 11 males & 12 females in the orchestra and twice that number in the band. There are 12 males & 17 females in the choir. If each musician only participates in one group, how many () total are there in the orchestra, the band, and the choir?",musicians,98,,,Seen Q,True,musicians
40,"Keanu was surfing towards the shore at a speed of 20 miles per hour.  A shark was swimming alongside him, riding the same wave, when it doubled its speed and moved away from Keanu.  There was a pilot fish swimming alongside Keanu and the shark, and when the shark increased its speed, the pilot fish also increased its speed and moved away from Keanu, but only increasing its speed by half as much as the shark had increased its speed by.  What speed, in miles per hour, was the pilot fish swimming when it moved away from Keanu?","The shark went from 20 miles per hour to a speed of 2*20=40 miles per hour.
The shark increased its speed by 40-20=<<40-20=20>>20 miles per hour.
Half of the shark's increase in speed is 20/2=<<20/2=10>>10 miles per hour.
Thus the pilot fish had increased its speed to 20+10=<<20+10=30>>30 miles per hour.
#### 30","Keanu was surfing towards the shore at a speed of 20 miles per hour.  A shark was swimming alongside him, riding the same (), when it doubled its speed and moved away from Keanu.  There was a pilot fish swimming alongside Keanu and the shark, and when the shark increased its speed, the pilot fish also increased its speed and moved away from Keanu, but only increasing its speed by half as much as the shark had increased its speed by.  What speed, in miles per hour, was the pilot fish swimming when it moved away from Keanu?",wave,30,"['same wave', 'shore', 'speed', 'miles', 'shark', 'same', 'wave', 'moved', 'was', 'fish', 'also', 'only', 'as', 'much']","As the shark swiftly moved through the water at an impressive speed, it was following the same wave that had carried a school of fish closer to the shore. The fish, also propelled by the same wave, were only a few miles away from where the shark was hunting. In this scenario, both predator and prey were utilizing the energy of the same wave, with the shark covering as much distance as the fish, ensuring that the chase remained intense and thrilling.",,False,speed
41,"A married couple and their 6 children are ordering some pizza. If the couple want 3 slices each and the children want 1 slice each, how many 4-slice pizzas should they order?","The couple want 3 slices each for a total of 2*3 = <<3*2=6>>6 slices
The children want 1 slice each for a total of 1*6 = <<1*6=6>>6 slices
They want 6+6 = <<6+6=12>>12 slices in total
Each pizza has 4 slices so they need 12/4 = <<12/4=3>>3 pizzas
#### 3","A married couple and their 6 children are ordering some pizza. If the couple want 3 ()s each and the children want 1 () each, how many 4-() pizzas should they order?",slice,3,,,Seen Q,True,slice
42,"Nikola is saving up for a bag of ant food before he can start his ant farm. He wants 400 ants in his farm. Each ant needs 2 ounces of food. Every ounce of ant food costs $.1. Nikola is saving up by raking leaves. He charges $5 to start a job and then he charges by the leaf. Each leaf he rakes costs 1 penny. He finally saved up enough money after he raked 6,000 leaves. How many jobs did he complete?","The ants will need 800 ounces of food because 400 x 2 = <<400*2=800>>800
The ant food will cost $80 because 800 x .1 = <<800*.1=80>>80
He has earned $60 from the leaves he has raked because 6000 leaves * $0.01/leaf = $<<6000*0.01=60>>60
He earned $20 from all his jobs because 80 - 60 = <<80-60=20>>20
He completed 4 jobs because 20 / 5 = <<20/5=4>>4
#### 4","Nikola is saving up for a bag of ant food before he can start his ant farm. He wants 400 ants in his farm. Each ant needs 2 () of food. Every ounce of ant food costs $.1. Nikola is saving up by raking leaves. He charges $5 to start a job and then he charges by the leaf. Each leaf he rakes costs 1 penny. He finally saved up enough money after he raked 6,000 leaves. How many jobs did he complete?",ounces,4,"['400', '5', '1 penny', '6,000', 'enough money', 'bag', 'ant', 'start', 'farm', 'ants', 'needs', 'ounces', 'costs', 'raking', 'leaves', 'charges', 'rakes', 'enough', 'money']","Imagine an industrious ant named Andy who decides to start a leaf-raking business. Andy realizes that each bag of leaves he collects weighs 5 ounces and that he needs to collect 6,000 ounces of leaves to make enough money to cover his costs. Andy charges 1 penny for each bag of leaves he rakes, and with 400 bags to fill, he will have enough money to sustain his farm. As Andy sets out with determination, his fellow ants join in, and together they work tirelessly to achieve their goal.",,False,ounce
43,Tonya is buying Christmas gifts for her sisters. She has 2 sisters and wants to spend the exact same amount on each. She buys her younger sister 4 dolls that cost $15 each. She plans to buy lego sets for her older sister. They cost $20 each. How many lego sets does she buy?,"She spent $60 on her younger sister because 4 x 15 = <<4*15=60>>60
She buys 3 lego sets for her older sister because 60 / 20 = <<60/20=3>>3
#### 3",Tonya is buying Christmas gifts for her ()s. She has 2 ()s and wants to spend the exact same amount on each. She buys her younger () 4 dolls that cost $15 each. She plans to buy lego sets for her older (). They cost $20 each. How many lego sets does she buy?,sister,3,"['Tonya', '2', 'exact amount', 'younger sister', 'lego sets', 'older sister', 'many sets', 'has', 'spend', 'buys', 'younger', 'dolls', 'cost', 'plans', 'buy', 'lego', 'How']","Tonya, the older sister, has been saving up to buy Lego sets for her younger sister. She knows her younger sister loves playing with Lego, and she wants to surprise her with the exact amount needed to purchase the sets she has been eyeing. Tonya plans to spend the exact amount required to buy the Lego sets, as she knows how much they mean to her younger sister. Despite the cost of the Lego sets, Tonya is determined to make her younger sister happy by buying her the many sets she desires. In contrast, the younger sister, who prefers dolls, may be surprised by Tonya's thoughtful gesture of purchasing the Lego sets.",,False,siblings
44,"Timothy and Theresa go to the movies very often. Timothy went to the movies 7 more times in 2010 that he did in 2009. In 2009, Timothy went to the movies 24 times. In 2010 Theresa went to see twice as many movies as Timothy did, but in 2009, she only saw half as many as he did. How many movies did Timothy and Theresa go on in both 2009 and 2010?","In 2010 Timothy watched 24+7 = <<24+7=31>>31 movies.
In 2010 Theresa watched 31*2 = <<31*2=62>>62 movies.
In 2009 Theresa watched 24/2 = <<24/2=12>>12 movies.
In both 2009 and 2010 Timothy and Theresa watched 24+31+62+12 = <<24+31+62+12=129>>129 movies.
#### 129","Timothy and Theresa go to the movies very often. Timothy went to the movies 7 more () in 2010 that he did in 2009. In 2009, Timothy went to the movies 24 (). In 2010 Theresa went to see twice as many movies as Timothy did, but in 2009, she only saw half as many as he did. How many movies did Timothy and Theresa go on in both 2009 and 2010?",times,129,,,Seen Q,True,times
45,"Galileo is currently renting a car that costs $20 per month. He is planning to buy a brand new car that costs $30 per month. If Galileo will have to pay for the new car for a year, how much will be the difference if he gets the brand new car instead of renting a car?","Galileo pays $20 x 12 = $<<20*12=240>>240 for renting a car every year.
He will pay $30 x 12 = $<<30*12=360>>360 for the brand new car for a year.
Therefore the difference between a new car and a refurbished car is $360 - $240 = $<<360-240=120>>120.
#### 120","Galileo is currently renting a car that costs $20 per (). He is planning to buy a brand new car that costs $30 per (). If Galileo will have to pay for the new car for a year, how much will be the difference if he gets the brand new car instead of renting a car?",month,120,"['Galileo', '20', '30', 'Galileo', 'renting', 'month', 'planning', 'have', 'pay', 'year', 'how']","Galileo, the renowned Italian astronomer and physicist, made significant contributions to the field of science during the 17th century. His groundbreaking discoveries revolutionized our understanding of the universe. Today, when planning a trip to Italy, you may find yourself considering renting a car to explore the beautiful countryside. If you're wondering how much it would cost, rental prices can vary depending on the duration of your stay. For instance, renting a car for a month could be more cost-effective than paying for individual days. If you're planning a year-long sabbatical in Italy, it might be more economical to opt for a long-term rental agreement. Ultimately, understanding the rental terms and duration options can help you make an informed decision that aligns with your travel plans and budget.",,False,day
46,Nancy can hula hoop for 10 minutes.  Casey can hula hoop 3 minutes less than Nancy.  Morgan can hula hoop three times as long as Casey.  How long can Morgan hula hoop?,"Casey can hula hoop 3 minutes less than Nancy so she can hula hoop for 10-3 = <<10-3=7>>7 minutes
Morgan can hula hoop three times as long as Casey, who can hula hoop for 7 minutes, so she can hula hoop for 3*7 = <<3*7=21>>21 minutes
#### 21",Nancy can () hoop for 10 minutes.  Casey can () hoop 3 minutes less than Nancy.  Morgan can () hoop three times as long as Casey.  How long can Morgan () hoop?,hula,21,,,Seen Q,True,hula
47,Tom decides to start running 5 days a week to lose weight.  He runs 1.5 hours each day.  He runs at a speed of 8 mph.  How many miles does he run a week?,"Each day he runs 1.5 * 8 = <<1.5*8=12>>12 miles
So he runs 5 * 12 = <<5*12=60>>60 miles in the week
#### 60",Tom decides to start running 5 days a week to lose ().  He runs 1.5 hours each day.  He runs at a speed of 8 mph.  How many miles does he run a week?,weight,60,,,Seen Q,True,weight
48,"Sarah is playing tic-tac-toe. She wins $1 for every game she wins, $0 for every game she ties, and she loses $2 for every game she loses. If she played 100 games where she tied 40 of them, and she lost $30, how many games did she win?","She either won or lost 60 games because 100 - 40 = <<100-40=60>>60
We know that 1(60-Losses) -2(Losses) = -30 because she lost $30
Therefore 60 - Losses - 2 Losses= -30
Therefore - 3 Losses = -90
Therefore, Losses = <<30=30>>30
#### 30","Sarah is playing tic-tac-toe. She wins $1 for every () she wins, $0 for every () she ties, and she loses $2 for every () she loses. If she played 100 ()s where she tied 40 of them, and she lost $30, how many ()s did she win?",game,30,,,Seen Q,True,game
49,"In ancient China, soldiers positioned in beacon towers along the Great Wall would send smoke signals to warn of impending attacks.  Since the towers were located at 5 kilometer intervals, they could send a signal the length of the Great Wall.  If the Great wall was 7300 kilometers long, and every tower had two soldiers, what was the combined number of soldiers in beacon towers on the Great Wall?","If there were beacon towers every 5 kilometers along the 7300 kilometer length of the Great Wall, then there were 7300/5=<<7300/5=1460>>1460 beacon towers.
If every tower had two soldiers, then there were a total of 1460*2=<<1460*2=2920>>2920 soldiers in beacon towers along the Great Wall.
#### 2920","In ancient China, soldiers positioned in beacon towers along the Great Wall would send smoke signals to warn of impending attacks.  Since the towers were located at 5 kilometer intervals, they could send a signal the length of the Great Wall.  If the Great () was 7300 kilometers long, and every tower had two soldiers, what was the combined number of soldiers in beacon towers on the Great Wall?",wall,2920,,,Seen Q,True,Wall
50,"Two months ago, Wilson had a total of $150 in his bank account. Then last month, he deposited $17. A few days after, he made a withdrawal. This month, he deposited $21 so he has $16 more than what is in his account two months ago. How much did Wilson withdraw last month?","Wilson had $150 + $17= $<<150+17=167>>167 two months ago before making a withdrawal.
His money in his account now is $150 + $16 = $<<150+16=166>>166.
Since he deposited $21 this month, this means there was $166 - $21 = $145 last month after making a withdrawal.
Therefore, Wilson withdrew $167 - $145 = $<<167-145=22>>22.
#### 22","Two months ago, Wilson had a total of $150 in his () account. Then last month, he deposited $17. A few days after, he made a withdrawal. This month, he deposited $21 so he has $16 more than what is in his account two months ago. How much did Wilson withdraw last month?",bank,22,"['Two months ago', '17', 'This month', '16', 'few days', 'ago', 'had', 'Then', 'last', 'deposited', 'few', 'made', 'so', 'has', 'How', 'withdraw']","Two months ago, on the 17th of last month, a person deposited a sum of money into their bank account. This month, on the 16th, they made a few withdrawals from the account. A few days ago, they had so much money in the account. Then, just a few days ago, they made another withdrawal. How much money has been withdrawn from the account so far?",,False,account
51,"Monica way studying for an exam. She studied for 2 hours on Wednesday and three times as long on Thursday. On Friday Monica studied half of the time she studied on Thursday. During the weekend (two days) Monica studied as much again as Wednesday, Thursday and Friday combined. How much time did she spend studying in total during the five days?","On Thursday, Monica studied for 3 * 2 = <<3*2=6>>6 hours.
On Friday, Monica studied half as much, so 6 / 2 = <<6/2=3>>3 hours.
Till the weekend, Monica studied in total for 2 + 6 + 3 = <<2+6+3=11>>11 hours.
That means, on the weekend Monica studied the same amount of time, so in total, she studied for 11 + 11 = <<11+11=22>>22 hours.
#### 22","Monica way studying for an exam. She studied for 2 hours on Wednesday and three ()s as long on Thursday. On Friday Monica studied half of the () she studied on Thursday. During the weekend (two days) Monica studied as much again as Wednesday, Thursday and Friday combined. How much () did she spend studying in total during the five days?",time,22,"['2 hours', 'three', 'half', 'two days', 'way', 'studying', 'exam', 'studied', 'hours', 'as', 'again', 'total']","After studying for a total of 2 hours yesterday, Sarah realized she had only covered half of the material needed for her exam in three days. Feeling anxious about the upcoming test, she decided to dedicate more time to studying. Sarah planned to allocate two more hours each day for the next two days to ensure she thoroughly reviewed all the necessary content. As she delved into her studies again, Sarah knew that this way, she would be better prepared for the exam.",,False,times
52,"Last year, the school library purchased 50 new books. This year, it purchased 3 times as many books. If the library had 100 books before it purchased new books last year, how many books are in the library now?","Last year, there were a total of 100 + 50 = <<100+50=150>>150 books in the library.
The library purchased 50 x 3 = <<50*3=150>>150 books this year.
Therefore, the library now has a total of 150 + 150 = <<150+150=300>>300 books.
#### 300","Last year, the school library purchased 50 new (). This year, it purchased 3 times as many (). If the library had 100 () before it purchased new () last year, how many () are in the library now?",books,300,,,Seen Q,True,books
53,"John is half times younger than his father, who is 4 years older than John's mother. If John's father is 40 years old, what's the age difference between John and his mother?","John is half times his father's age. Thus 1/2*40 = <<1/2*40=20>>20 years.
Since the mother is 4 years younger than the father, she is 40-4= <<40-4=36>>36 years old.
The age difference between John and his mother is 36-20 = <<36-20=16>>16 years
#### 16","John is half times younger than his father, who is 4 () older than John's mother. If John's father is 40 () old, what's the age difference between John and his mother?",years,16,,,Seen Q,True,years
54,"Last week, a farmer shipped 10 boxes of pomelos which had 240 pomelos in all. This week, the farmer shipped 20 boxes. How many dozens of pomelos did the farmer ship in all?","There were 240/10 = <<240/10=24>>24 pomelos in a box.
This means that each box has 24/12 = <<24/12=2>>2 dozens of pomelos since 1 dozen is equal to 12.
The farmer shipped a total of 10 + 20 = <<10+20=30>>30 boxes.
Thus, the farmer shipped a total of 30 x 2 = <<30*2=60>>60 dozens of pomelos.
#### 60","Last (), a farmer shipped 10 boxes of pomelos which had 240 pomelos in all. This (), the farmer shipped 20 boxes. How many dozens of pomelos did the farmer ship in all?",week,60,"['10', '20', 'dozens', 'Last', 'farmer', 'shipped', 'boxes', 'had', 'How']","Last week, a farmer shipped dozens of boxes filled with fresh produce to the local market. The farmer had harvested 10 crates of apples and 20 crates of oranges. As he prepared the shipment, he wondered how many boxes he would need to pack all the fruits.",,False,year
55,John decides to learn how to play the piano.  He buys a piano for $500.  He then hires a teacher for 20 lessons at $40 per lesson but ends up getting a 25% discount.  How much did everything cost?,"The normal price of the lessons would be 20*40=$<<20*40=800>>800
The discount saves him 800*.25=$<<800*.25=200>>200
So the lessons cost him 800-200=$<<800-200=600>>600
That means everything costs 500+600=$<<500+600=1100>>1100
#### 1100",John decides to learn how to play the piano.  He buys a piano for $500.  He then hires a () for 20 lessons at $40 per lesson but ends up getting a 25% discount.  How much did everything cost?,teacher,1100,,,Seen Q,True,Teacher
56,"Claire has 400 flowers in her garden. One hundred twenty are tulips, and the rest are roses. Eighty of the roses are white, while the rest are red. Each red rose is worth $0.75. How much will Claire earn if she can sell 1/2 of the total number of red roses?","Claire has 400 - 120 = <<400-120=280>>280 roses in her garden.
Thus, she has 280 - 80 = <<280-80=200>>200 red roses.
One-half of the red roses is equal to 1/2 x 200 = <<1/2*200=100>>100.
Therefore, Claire will earn $0.75 x 100 = $75 if she can sell 1/2 of the total number of red roses.
#### 75","Claire has 400 flowers in her garden. One hundred twenty are tulips, and the () are roses. Eighty of the roses are white, while the () are red. Each red rose is worth $0.75. How much will Claire earn if she can sell 1/2 of the total number of red roses?",rest,75,"['400', 'Eighty', 'red rose', 'red roses', 'flowers', 'rest', 'white', 'red', 'rose', 'worth', 'earn', 'total', 'number']","After a long day of work, Sarah decided to treat herself to a bouquet of flowers. She walked into the florist and was immediately drawn to a stunning arrangement of eighty red roses. Each rose was carefully selected for its vibrant red hue and delicate petals. Sarah knew that the red roses were worth every penny, as they symbolized love and passion. She quickly calculated the total cost of the bouquet, which came out to be $400. Despite the hefty price tag, Sarah felt that the beauty and elegance of the red roses were worth every cent. As she made her purchase and headed home, she couldn't wait to rest and enjoy the sight of the gorgeous flowers in her living room.",,False,remaining
57,John's hair grows 1.5 inches every month.  Every time it gets to 9 inches long he cuts it down to 6 inches.  A haircut costs $45 and he gives a 20% tip.  How much does he spend on haircuts a year?,"He cuts off 9-6=<<9-6=3>>3 inches when he gets a haircut
That means he needs to cut it every 3/1.5=<<3/1.5=2>>2 months
So he gets 12/2=<<12/2=6>>6 haircuts a year
He gives a 45*.2=$<<45*.2=9>>9 tip
So that means each hair cut cost 45+9=$<<45+9=54>>54
So he pays 54*6=$<<54*6=324>>324 a year
#### 324",John's hair grows 1.5 inches every month.  Every time it gets to 9 inches long he cuts it down to 6 inches.  A haircut costs $45 and he gives a 20% ().  How much does he spend on haircuts a year?,tip,324,"['9 inches', '45', '20%', 'hair', 'inches', 'month', 'long', 'cuts', 'down', 'costs', 'gives', 'haircuts']","Haircuts are essential for maintaining healthy hair growth and style. On average, hair grows about half an inch per month, which means that in a year, it can grow up to 6 inches. However, regular trims are recommended every 6-8 weeks to prevent split ends and breakage. A typical haircut might involve trimming off about 1 inch, which is roughly 20% of the hair's length. Some people prefer to keep their hair long, while others opt for shorter cuts. The cost of a haircut can vary depending on the salon and stylist, with prices ranging from $20 to $45. For those looking to significantly change their hairstyle, a 9-inch chop can be a dramatic transformation that gives a fresh new look.",,False,discount
58,"Theresa has 5 more than thrice as many video games as Julia. Julia has a third as many video games as Tory. If Tory has 6 video games, how many video games does Theresa have?","Julia has 1/3*6=<<1/3*6=2>>2 video games.
Theresa has 3*2+5=<<3*2+5=11>>11 video games.
#### 11","Theresa has 5 more than thrice as many () games as Julia. Julia has a third as many () games as Tory. If Tory has 6 () games, how many () games does Theresa have?",video,11,"['5', 'Tory', 'Tory', 'third games', 'more', 'many', 'video', 'have']","In the world of video games, the third installment of a popular series often brings about heightened anticipation and excitement among gamers. This is especially true for franchises that have established a loyal following over the years. One such example is the ""Tory"" series, known for its immersive gameplay and captivating storylines. With each new release, fans eagerly anticipate more challenging levels, innovative features, and improved graphics. The ""Tory"" games have garnered a reputation for pushing the boundaries of what is possible in the gaming world, attracting many players from around the globe. The series' success lies in its ability to consistently deliver high-quality content that keeps players coming back for more.",,False,18
