,Unnamed: 0,id,question,question_concept,choices,answerKey,answer_options_formatted,answer,choices_copy,masked_options,question_answer,masked_question,masked_word_answer
58,3906,7cc82a88e4b85df5b78ca37ca58362fa,Where do lizards like to sun themselves?,lizard,"['garden', 'jazz club', 'tropical rainforest', 'rocky places', 'tanning bed']",D,"A: garden
B: jazz club
C: tropical rainforest
D: rocky places
E: tanning bed",rockyplaces,"['garden', '', 'tropical rainforest', 'rocky places', 'tanning bed']",['jazz club'],"Question: Where do lizards like to sun themselves?
Answer:
A: garden
B: 
C: tropical rainforest
D: rocky places
E: tanning bed",Where do () like to sun themselves?,lizards
59,6102,f4875cde564c06795dff317449b855f1,Which state are you in if you're at a tennis court in a mitten-shaped state?,tennis court,"['town', 'country club', 'health club', 'florida', 'michigan']",E,"A: town
B: country club
C: health club
D: florida
E: michigan",michigan,"['', 'country club', 'health club', 'florida', 'michigan']",['town'],"Question: Which state are you in if you're at a tennis court in a mitten-shaped state?
Answer:
A: 
B: country club
C: health club
D: florida
E: michigan",Which () are you in if you're at a tennis court in a mitten-shaped ()?,state
60,533,bb3c158fe3d9c54d18fcb178caf8b070,Where are you if your reading magazines while waiting for a vehicle on rails?,magazines,"['vegetables', 'market', 'doctor', 'train station', 'bookstore']",D,"A: vegetables
B: market
C: doctor
D: train station
E: bookstore",trainstation,"['vegetables', 'market', '', 'train station', 'bookstore']",['doctor'],"Question: Where are you if your reading magazines while waiting for a vehicle on rails?
Answer:
A: vegetables
B: market
C: 
D: train station
E: bookstore",Where are you if your () magazines while waiting for a vehicle on rails?,reading
61,9404,1098d6e38f549550bfd5ded1ccaa73e1,Where might a bureau be in charge?,bureau,"['french government', 'home office', 'office building', 'parliament', 'bedroom']",A,"A: french government
B: home office
C: office building
D: parliament
E: bedroom",frenchgovernment,"['french government', '', 'office building', 'parliament', 'bedroom']",['home office'],"Question: Where might a bureau be in charge?
Answer:
A: french government
B: 
C: office building
D: parliament
E: bedroom",Where might a () be in charge?,bureau
62,9282,10ce9f17e72c70bde21544edbe5b9591,What kind of leave did the manager assign all nonessential personnel?,nonessential,"['mandatory', 'shall', 'necessary', 'essential', 'required']",A,"A: mandatory
B: shall
C: necessary
D: essential
E: required",mandatory,"['mandatory', 'shall', '', 'essential', 'required']",['necessary'],"Question: What kind of leave did the manager assign all nonessential personnel?
Answer:
A: mandatory
B: shall
C: 
D: essential
E: required",What kind of () did the manager assign all nonessential personnel?,leave
63,8142,98bbe0d300f5f0d7983d0081ed187b4d,When you meet interesting people your contacts list is likely to do what?,meet interesting people,"['remember names', 'grow', 'friendly', 'cordial', 'friendship']",B,"A: remember names
B: grow
C: friendly
D: cordial
E: friendship",grow,"['remember names', 'grow', '', 'cordial', 'friendship']",['friendly'],"Question: When you meet interesting people your contacts list is likely to do what?
Answer:
A: remember names
B: grow
C: 
D: cordial
E: friendship",When you meet interesting () your contacts list is likely to do what?,people
64,8910,d7c8377953e0175ef57d59f3a8e63a8e,What place could have one back garden?,back garden,"['police station', 'city', 'town', 'england', 'house']",E,"A: police station
B: city
C: town
D: england
E: house",house,"['', 'city', 'town', 'england', 'house']",['police station'],"Question: What place could have one back garden?
Answer:
A: 
B: city
C: town
D: england
E: house",What () could have one back garden?,place
65,3857,3c06db0a2abf67151514d6c568eb66b5,Where does a cast act?,cast,"['perform', 'stage', 'cast net', 'film', 'broken leg']",B,"A: perform
B: stage
C: cast net
D: film
E: broken leg",stage,"['perform', 'stage', 'cast net', '', 'broken leg']",['film'],"Question: Where does a cast act?
Answer:
A: perform
B: stage
C: cast net
D: 
E: broken leg",Where does a () act?,cast
66,6523,5d31ff30918b50af03e6eca3f7b7967e,"Bill wants to make a fortune while sailing in the Caribbean, what should he look for?",fortune,"['bank', 'stock market', 'treasure chest', 'bag of cash', 'real estate']",C,"A: bank
B: stock market
C: treasure chest
D: bag of cash
E: real estate",treasurechest,"['', 'stock market', 'treasure chest', 'bag of cash', 'real estate']",['bank'],"Question: Bill wants to make a fortune while sailing in the Caribbean, what should he look for?
Answer:
A: 
B: stock market
C: treasure chest
D: bag of cash
E: real estate","Bill wants to make a () while sailing in the Caribbean, what should he look for?",fortune
67,3808,5bab8120c2814c3a66fa4262f7500fba,If you have plenty to eat when you have lunch you'll do what?,have lunch,"['eath', 'pouring coffee', 'feel empty', 'get full', 'getting in line']",D,"A: eath
B: pouring coffee
C: feel empty
D: get full
E: getting in line",getfull,"['eath', 'pouring coffee', '', 'get full', 'getting in line']",['feel empty'],"Question: If you have plenty to eat when you have lunch you'll do what?
Answer:
A: eath
B: pouring coffee
C: 
D: get full
E: getting in line",If you have plenty to eat when you have () you'll do what?,lunch
68,5586,31b7eb91c8e4c9bfa936ce979f5a4ca8,James was an American horse. He thought his home was too hot.  Where might he have lived?,horse,"['arizona', 'farm yard', 'south', 'michigan', 'western movie']",A,"A: arizona
B: farm yard
C: south
D: michigan
E: western movie",arizona,"['arizona', 'farm yard', '', 'michigan', 'western movie']",['south'],"Question: James was an American horse. He thought his home was too hot.  Where might he have lived?
Answer:
A: arizona
B: farm yard
C: 
D: michigan
E: western movie",James was an American (). He thought his home was too hot.  Where might he have lived?,horse
69,7576,4dd40d984b5779ac7b2089212061a772,"The person was glad that his father had helped him.   If his father wasn't there, he'd have been what?",glad,"['regretful', 'hatred', 'downcast', 'unhappy', 'disappointed']",E,"A: regretful
B: hatred
C: downcast
D: unhappy
E: disappointed",disappointed,"['', 'hatred', 'downcast', 'unhappy', 'disappointed']",['regretful'],"Question: The person was glad that his father had helped him.   If his father wasn't there, he'd have been what?
Answer:
A: 
B: hatred
C: downcast
D: unhappy
E: disappointed","The () was glad that his father had helped him.   If his father wasn't there, he'd have been what?",person
70,9310,8c2c17b50f2f10e4f3004c30dbfccc19,What does the D in DRC stand for?,republic,"['dictatorship', 'democracy', 'democracy', 'state', 'democratic']",E,"A: dictatorship
B: democracy
C: democracy
D: state
E: democratic",democratic,"['dictatorship', 'democracy', '', 'state', 'democratic']",['democracy'],"Question: What does the D in DRC stand for?
Answer:
A: dictatorship
B: democracy
C: 
D: state
E: democratic",What does the D in DRC stand for?,
71,2046,8959f7fd535adcbfa7028dc13af3dcb2,After a long day of teaching and an afternoon of grading homework the teacher was hungry so she began to what?,teacher,"['evaluate progress', 'include examples', 'time test', 'prepare dinner', 'eat children']",D,"A: evaluate progress
B: include examples
C: time test
D: prepare dinner
E: eat children",preparedinner,"['evaluate progress', 'include examples', 'time test', 'prepare dinner', '']",['eat children'],"Question: After a long day of teaching and an afternoon of grading homework the teacher was hungry so she began to what?
Answer:
A: evaluate progress
B: include examples
C: time test
D: prepare dinner
E: ",After a long day of teaching and an afternoon of grading homework the () was hungry so she began to what?,teacher
72,4439,068ce575c1fe83c0c19afc43e2b23169,"James spent his days at his cottage trying to capture the beauty of the landscape, but he wasn't good at it. He was never good at it.  What isn't he good at?",cottage,"['mountains', 'dense areas', 'village', 'countryside', 'painting']",E,"A: mountains
B: dense areas
C: village
D: countryside
E: painting",painting,"['', 'dense areas', 'village', 'countryside', 'painting']",['mountains'],"Question: James spent his days at his cottage trying to capture the beauty of the landscape, but he wasn't good at it. He was never good at it.  What isn't he good at?
Answer:
A: 
B: dense areas
C: village
D: countryside
E: painting","James spent his days at his cottage trying to capture the () of the landscape, but he wasn't good at it. He was never good at it.  What isn't he good at?",beauty
73,4692,4bb828a8c61988957739eed4f8518332,Where is a good place for a safabed to be so it can also be used for seating?,sofabed,"['garage', 'sitting room', 'spare room', 'livingroom', 'dinning roam']",B,"A: garage
B: sitting room
C: spare room
D: livingroom
E: dinning roam",sittingroom,"['garage', 'sitting room', 'spare room', '', 'dinning roam']",['livingroom'],"Question: Where is a good place for a safabed to be so it can also be used for seating?
Answer:
A: garage
B: sitting room
C: spare room
D: 
E: dinning roam",Where is a good place for a safabed to be so it can also be used for ()?,seating
74,4201,5dffd7d4ae870d46e62928bbb9c9d2a7,Where are things sometimes organized by a card catalog?,card catalog,"['store', 'recipe book', 'kitchen', 'easy browsing', 'library']",E,"A: store
B: recipe book
C: kitchen
D: easy browsing
E: library",library,"['store', '', 'kitchen', 'easy browsing', 'library']",['recipe book'],"Question: Where are things sometimes organized by a card catalog?
Answer:
A: store
B: 
C: kitchen
D: easy browsing
E: library",Where are things sometimes organized by a card ()?,catalog
75,4832,4a038540c439a347ad60b361c1cf1e62,Where are you when an employee brings you cooked potatoes?,potatoes,"['bathroom', 'cellar', 'countryside', 'restaurant', 'plate']",D,"A: bathroom
B: cellar
C: countryside
D: restaurant
E: plate",restaurant,"['', 'cellar', 'countryside', 'restaurant', 'plate']",['bathroom'],"Question: Where are you when an employee brings you cooked potatoes?
Answer:
A: 
B: cellar
C: countryside
D: restaurant
E: plate",Where are you when an () brings you cooked potatoes?,employee
76,1970,c277775dce20e98575156b8b983c258c,"Jeremy is mastering a music scale, where should he find books on the matter?",scale,"['post office', 'music store', 'assay office', 'butcher shop', ""doctor's office""]",B,"A: post office
B: music store
C: assay office
D: butcher shop
E: doctor's office",musicstore,"['post office', 'music store', '', 'butcher shop', ""doctor's office""]",['assay office'],"Question: Jeremy is mastering a music scale, where should he find books on the matter?
Answer:
A: post office
B: music store
C: 
D: butcher shop
E: doctor's office","Jeremy is mastering a music scale, where should he find () on the matter?",books
77,861,ed4685a26e896a7a6d37e8c8f787729f,What would a person do to help someone that is not able to speak coherently?,person,"['sign language', 'complete sentence', 'drink tea', 'feel angry', 'cross street']",B,"A: sign language
B: complete sentence
C: drink tea
D: feel angry
E: cross street",completesentence,"['sign language', 'complete sentence', '', 'feel angry', 'cross street']",['drink tea'],"Question: What would a person do to help someone that is not able to speak coherently?
Answer:
A: sign language
B: complete sentence
C: 
D: feel angry
E: cross street",What would a () do to help someone that is not able to speak coherently?,person
78,7900,e5dcb0e9ce9d020ff021e6892885292a,What would you put a spoon into after you finish eating?,spoon,"['dishwasher', 'bowl of soup', 'washing machine', 'serving dish', 'dinner']",A,"A: dishwasher
B: bowl of soup
C: washing machine
D: serving dish
E: dinner",dishwasher,"['dishwasher', 'bowl of soup', '', 'serving dish', 'dinner']",['washing machine'],"Question: What would you put a spoon into after you finish eating?
Answer:
A: dishwasher
B: bowl of soup
C: 
D: serving dish
E: dinner",What would you put a () into after you finish eating?,spoon
79,5156,cd9ee2d4be94cf10c244eebc689b8f77,Where does something get weighed on a scale in order to determine a price?,scale,"['music store', 'bathroom', 'post office', 'craft store', ""doctor's office""]",C,"A: music store
B: bathroom
C: post office
D: craft store
E: doctor's office",postoffice,"['music store', 'bathroom', 'post office', 'craft store', '']","[""doctor's office""]","Question: Where does something get weighed on a scale in order to determine a price?
Answer:
A: music store
B: bathroom
C: post office
D: craft store
E: ",Where does something get weighed on a scale in () to determine a price?,order
80,5866,dce47167b8dab9cf3ef1834e2b1e88dd,If the though of performing makes you anxious what do you suffer from?,performing,"['being appreciated', 'get attention', 'terror', 'stage fright', 'fear']",D,"A: being appreciated
B: get attention
C: terror
D: stage fright
E: fear",stagefright,"['being appreciated', '', 'terror', 'stage fright', 'fear']",['get attention'],"Question: If the though of performing makes you anxious what do you suffer from?
Answer:
A: being appreciated
B: 
C: terror
D: stage fright
E: fear",If the though of performing makes you () what do you suffer from?,anxious
81,3477,63ecae5ec728ad57ab0907229484fdd5,What is a reason to pay your television bill?,television,"['informative', 'dead', 'legal', 'entertaining', 'obsolete']",C,"A: informative
B: dead
C: legal
D: entertaining
E: obsolete",legal,"['informative', 'dead', 'legal', '', 'obsolete']",['entertaining'],"Question: What is a reason to pay your television bill?
Answer:
A: informative
B: dead
C: legal
D: 
E: obsolete",What is a () to pay your television bill?,reason
82,9658,19eee9caa52e736b12c192071c4046f3,"If a couple is having financial issues, buying products can lead to what?",buying products,"['economic boom', 'being able to use', 'disagreements', 'spending money', 'joy']",C,"A: economic boom
B: being able to use
C: disagreements
D: spending money
E: joy",disagreements,"['economic boom', 'being able to use', 'disagreements', 'spending money', '']",['joy'],"Question: If a couple is having financial issues, buying products can lead to what?
Answer:
A: economic boom
B: being able to use
C: disagreements
D: spending money
E: ","If a () is having financial issues, buying products can lead to what?",couple
83,505,15c68e50e58319ae935c8076cdaf48d3,"After the guilty verdict in the killing the judge gave a speech, he told the murderer he was pure what?",killing,"['wrong', 'death of', 'bad', 'negative', 'evil']",E,"A: wrong
B: death of
C: bad
D: negative
E: evil",evil,"['wrong', 'death of', 'bad', '', 'evil']",['negative'],"Question: After the guilty verdict in the killing the judge gave a speech, he told the murderer he was pure what?
Answer:
A: wrong
B: death of
C: bad
D: 
E: evil","After the guilty verdict in the killing the judge gave a (), he told the murderer he was pure what?",speech
84,1485,08635abd9b1b2fbe1bd3a23f03ceff63,"Matt had issues controlling his anger, what did he do when someone set him off?",anger,"['destroy enemy', 'punch', 'cool off', 'write letter', 'illustrate point']",B,"A: destroy enemy
B: punch
C: cool off
D: write letter
E: illustrate point",punch,"['destroy enemy', 'punch', '', 'write letter', 'illustrate point']",['cool off'],"Question: Matt had issues controlling his anger, what did he do when someone set him off?
Answer:
A: destroy enemy
B: punch
C: 
D: write letter
E: illustrate point","Matt had () controlling his anger, what did he do when someone set him off?",issues
85,1690,5cd7f44bbf730dfae5ef2a362d2e5149,What can help you with an illness?,illness,"['elderly person', 'sick person', 'hospital', ""doctor's office"", 'stomach']",D,"A: elderly person
B: sick person
C: hospital
D: doctor's office
E: stomach",doctor'soffice,"['elderly person', '', 'hospital', ""doctor's office"", 'stomach']",['sick person'],"Question: What can help you with an illness?
Answer:
A: elderly person
B: 
C: hospital
D: doctor's office
E: stomach",What can help you with an ()?,illness
86,297,390eef19c5f2b7fbd42f56cf036e1fd3,Where will a bullet projectile be found during a war?,projectile,"['battle field', 'museum', 'weapon', 'canon', 'tornado']",A,"A: battle field
B: museum
C: weapon
D: canon
E: tornado",battlefield,"['battle field', 'museum', 'weapon', '', 'tornado']",['canon'],"Question: Where will a bullet projectile be found during a war?
Answer:
A: battle field
B: museum
C: weapon
D: 
E: tornado",Where will a bullet () be found during a war?,projectile
87,4977,bf1116612abf1a5948e2e3ba94bff3ae,"She was playing violin with the hope of recording it someday, what did she want to do with her talent?",play violin,"['calluses', 'playing wrong note', 'audition', 'making music', 'read music']",D,"A: calluses
B: playing wrong note
C: audition
D: making music
E: read music",makingmusic,"['calluses', '', 'audition', 'making music', 'read music']",['playing wrong note'],"Question: She was playing violin with the hope of recording it someday, what did she want to do with her talent?
Answer:
A: calluses
B: 
C: audition
D: making music
E: read music","She was playing violin with the hope of recording it someday, what did she want to do with her ()?",talent
88,47,c428412a660f34965772a7389ce58e0a,What might be the result of a season of successful skiing?,skiing,"['finish line', 'broken bones', 'broken legs', 'chapped lips', 'healthy body']",E,"A: finish line
B: broken bones
C: broken legs
D: chapped lips
E: healthy body",healthybody,"['finish line', '', 'broken legs', 'chapped lips', 'healthy body']",['broken bones'],"Question: What might be the result of a season of successful skiing?
Answer:
A: finish line
B: 
C: broken legs
D: chapped lips
E: healthy body",What might be the () of a season of successful skiing?,result
89,1086,bd9b81f43baf042635fee3b20c98e705,"Working in the vegetable garden everyday is good for you, you get to spend time where?",vegetable garden,"['backyard', 'outside', 'amusement park', 'eating', 'back yard']",B,"A: backyard
B: outside
C: amusement park
D: eating
E: back yard",outside,"['backyard', 'outside', 'amusement park', '', 'back yard']",['eating'],"Question: Working in the vegetable garden everyday is good for you, you get to spend time where?
Answer:
A: backyard
B: outside
C: amusement park
D: 
E: back yard","Working in the vegetable () everyday is good for you, you get to spend time where?",garden
90,726,a1b81a0188d5ee00088a166e3aea5446,What type of water transportation is human powered?,human,"['turn away', 'let down', 'have to sleep', 'run', 'row boat']",E,"A: turn away
B: let down
C: have to sleep
D: run
E: row boat",rowboat,"['turn away', '', 'have to sleep', 'run', 'row boat']",['let down'],"Question: What type of water transportation is human powered?
Answer:
A: turn away
B: 
C: have to sleep
D: run
E: row boat",What type of water () is human powered?,transportation
91,3418,144d734404d15d00e048ec209eb8ed92,"If you saw a fish break the surface of the water and flap its fins in the air, you might think it is doing what?",fish,"['school together', 'pets', 'attempt to fly', 'find food', 'hatred']",C,"A: school together
B: pets
C: attempt to fly
D: find food
E: hatred",attempttofly,"['', 'pets', 'attempt to fly', 'find food', 'hatred']",['school together'],"Question: If you saw a fish break the surface of the water and flap its fins in the air, you might think it is doing what?
Answer:
A: 
B: pets
C: attempt to fly
D: find food
E: hatred","If you saw a () break the surface of the water and flap its fins in the air, you might think it is doing what?",fish
92,1039,f85b6ec6ad784b0664935f21877003cd,Where might you find a computer user that is visiting a foreign city and didn't bring their own computer along?,computer user,"['school', 'hell', 'internet cafe', 'office building', 'despair']",C,"A: school
B: hell
C: internet cafe
D: office building
E: despair",internetcafe,"['school', 'hell', 'internet cafe', '', 'despair']",['office building'],"Question: Where might you find a computer user that is visiting a foreign city and didn't bring their own computer along?
Answer:
A: school
B: hell
C: internet cafe
D: 
E: despair",Where might you find a computer () that is visiting a foreign city and didn't bring their own computer along?,user
93,1974,0abf342a1e79ad512937a194474480ed,When you're getting drunk and stumbling what might you be feeling?,getting drunk,"['stumbling', 'nausea', 'fights', 'death', 'your head hit the ground']",B,"A: stumbling
B: nausea
C: fights
D: death
E: your head hit the ground",nausea,"['stumbling', 'nausea', 'fights', 'death', '']",['your head hit the ground'],"Question: When you're getting drunk and stumbling what might you be feeling?
Answer:
A: stumbling
B: nausea
C: fights
D: death
E: ",When you're getting () and stumbling what might you be feeling?,drunk
94,4723,28a6d37816be84e77ac79bef5a12b433,"The man was sick of secular consumerism, what life did he seek instead?",secular,"['eternal', 'married life', 'religious', 'monastic', 'unpredictable']",D,"A: eternal
B: married life
C: religious
D: monastic
E: unpredictable",monastic,"['eternal', 'married life', '', 'monastic', 'unpredictable']",['religious'],"Question: The man was sick of secular consumerism, what life did he seek instead?
Answer:
A: eternal
B: married life
C: 
D: monastic
E: unpredictable","The man was sick of secular consumerism, what () did he seek instead?",life
95,4263,18c43c58a0e0472084ad630d4d0c1093,Joe learned some relaxing exercises from his therapist.  They all centered around what sort of action?,relaxing,"['feeling good', 'deep breathing', 'sleeping', 'taking a bath', 'fall asleep']",B,"A: feeling good
B: deep breathing
C: sleeping
D: taking a bath
E: fall asleep",deepbreathing,"['feeling good', 'deep breathing', '', 'taking a bath', 'fall asleep']",['sleeping'],"Question: Joe learned some relaxing exercises from his therapist.  They all centered around what sort of action?
Answer:
A: feeling good
B: deep breathing
C: 
D: taking a bath
E: fall asleep",Joe learned some relaxing exercises from his therapist.  They all centered around what () of action?,sort
96,7001,80138b9cea63d347acdacdba0c5ed16b,James turned on his computer and the monitor lit on the room.  What might his body do as he stands there?,computer,"['see a ghost', 'become sensible', 'make decisions', 'crash', 'cast shadow']",E,"A: see a ghost
B: become sensible
C: make decisions
D: crash
E: cast shadow",castshadow,"['', 'become sensible', 'make decisions', 'crash', 'cast shadow']",['see a ghost'],"Question: James turned on his computer and the monitor lit on the room.  What might his body do as he stands there?
Answer:
A: 
B: become sensible
C: make decisions
D: crash
E: cast shadow",James turned on his () and the monitor lit on the room.  What might his body do as he stands there?,computer
97,6268,d683040f7fb16669504f36845cee5cae,If an insurance adjuster finds your claim incorrect they will do what?,claim,"['forgive', 'disown reject', 'relinquish', 'deny', 'give back']",D,"A: forgive
B: disown reject
C: relinquish
D: deny
E: give back",deny,"['forgive', 'disown reject', 'relinquish', 'deny', '']",['give back'],"Question: If an insurance adjuster finds your claim incorrect they will do what?
Answer:
A: forgive
B: disown reject
C: relinquish
D: deny
E: ",If an () adjuster finds your claim incorrect they will do what?,insurance
98,2989,fe780c1e09eb8ddeace179db3b3667fa,Bill loved riding his bike and did it all the time.  He had trouble going up hills and sometimes pushed himself to the point of what?,riding bike,"['falling down', 'give up', 'exhaustion', 'travelling', 'going somewhere']",C,"A: falling down
B: give up
C: exhaustion
D: travelling
E: going somewhere",exhaustion,"['falling down', '', 'exhaustion', 'travelling', 'going somewhere']",['give up'],"Question: Bill loved riding his bike and did it all the time.  He had trouble going up hills and sometimes pushed himself to the point of what?
Answer:
A: falling down
B: 
C: exhaustion
D: travelling
E: going somewhere",Bill loved riding his bike and did it all the ().  He had trouble going up hills and some()s pushed himself to the point of what?,time
99,3262,4940cfa669ed367ebdb9c4143cf5d60e,"After I urinate and flush the toilet and wash my hands, what should I do next?",urinate,"['flush toilet', 'dry hands', 'zip pants', 'eat', 'wash hands']",D,"A: flush toilet
B: dry hands
C: zip pants
D: eat
E: wash hands",eat,"['flush toilet', 'dry hands', '', 'eat', 'wash hands']",['zip pants'],"Question: After I urinate and flush the toilet and wash my hands, what should I do next?
Answer:
A: flush toilet
B: dry hands
C: 
D: eat
E: wash hands","After I urinate and flush the () and wash my hands, what should I do next?",toilet
